question_no,choice_no,choice_text,is_correct
1,1,메시지는 이해하기 쉬워야 한다.,False
1,2,오류로부터 회복을 위한 구체적인 설명이 제공되어야 한다.,False
1,3,오류로 인해 발생 될 수 있는 부정적인 내용을 적극적으로 사용자들에게 알려야 한다.,False
1,4,소리나 색의 사용을 줄이고 텍스트로만 전달하도록 한다.,True
2,1,공정과 도구보다 개인과의 상호작용을 더 가치 있게 여긴다.,False
2,2,동작하는 소프트웨어보다는 포괄적인 문서를 가치 있게 여긴다.,True
2,3,계약 협상보다는 고객과의 협력을 가치 있게 여긴다.,False
2,4,계획을 따르기보다 변화에 대응하기를 가치 있게 여긴다.,False
3,1,소프트웨어가 무엇을 해야하는가를 추적하여 요구사항 명세를 작성하는 작업이다.,False
3,2,사용자의 요구를 추출하여 목표를 정하고 어떤 방식으로 해결할 것인지 결정하는 단계이다.,False
3,3,소프트웨어 시스템이 사용되는 동안 발견되는 오류를 정리하는 단계이다.,True
3,4,소프트웨어 개발의 출발점이면서 실질적인 첫 번째 단계이다.,False
4,1,Abstraction,False
4,2,Polymorphism,False
4,3,Encapsulation,False
4,4,Inheritance,True
5,1,하향식 설계에서는 통합 검사 시 인터페이스가 이미 정의되어 있어 통합이 간단하다.,False
5,2,하향식 설계에서 레벨이 낮은 데이터 구조의 세부 사항은 설계초기 단계에서 필요하다.,False
5,3,상향식 설계는 최하위 수준에서 각각의 모듈들을 설계하고 이러한 모듈이 완성되면 이들을 결합하여 검사한다.,False
5,4,상향식 설계에서는 인터페이스가 이미 성립되어 있지 않더라도 기능 추가가 쉽다.,True
6,1,Process : 원,False
6,2,Data Flow : 화살표,False
6,3,Data Store : 삼각형,True
6,4,Terminator : 사각형,False
7,1,모델은 개발 대상을 추상화하고 기호나 그림 등으로 시각적으로 표현한다.,False
7,2,모델을 통해 소프트웨어에 대한 이해도를 향상시킬 수 있다.,False
7,3,모델을 통해 이해 당사자 간의 의사소통이 향상된다.,False
7,4,모델을 통해 향후 개발될 시스템의 유추는 불가능하다.,True
8,1,JAVA,False
8,2,C,False
8,3,UML,True
8,4,Python,False
9,1,스토리보드(Storyboard),False
9,2,목업(Mockup),True
9,3,프로토타입(Prototype) X,False
9,4,유스케이스(Usecase),False
10,1,"스크럼 마스터(Scrum Master)는 스크럼 프로세스를 따르고, 팀이 스크럼을 효과적으로 활용할 수 있도록 보장하는 역할 등을 맡는다.",False
10,2,"제품 백로그(Product Backlog)는 스크럼 팀이 해결해야 하는 목록으로 소프트웨어 요구사항, 아키텍처 정의 등이 포함될 수 있다.",False
10,3,스프린트(Sprint)는 하나의 완성된 최종 결과물을 만들기 위한 주기로 3달 이상의 장기간으로 결정된다.,True
10,4,속도(Velocity)는 한 번의 스프린트에서 한 팀이 어느 정도의 제품 백로그를 감당할 수 있는지에 대한 추정치로 볼 수 있다.,False
11,1,컴포넌트 다이어그램,False
11,2,배치 다이어그램,False
11,3,순차 다이어그램,True
11,4,패키지 다이어그램,False
12,1,5개월,False
12,2,10개월,False
12,3,15개월,False
12,4,20개월,True
13,1,단일 책임원칙 : 하나의 클래스만 변경 가능 해야한다.,False
13,2,개방-폐쇄의 원칙 : 클래스는 확장에 대해 열려 있어야 하며 변경에 대해 닫혀 있어야 한다.,True
13,3,리스코프 교체의 원칙 : 여러 개의 책임을 가진 클래스는 하나의 책임을 가진 클래스로 대체되어야 한다.,False
13,4,의존관계 역전의 원칙 : 클라이언트는 자신이 사용하는 메소드와 의존관계를 갖지 않도록 해야 한다.,False
14,1,컴퍼지트(Composite),False
14,2,어댑터(Adapter),False
14,3,추상 팩토리(Abstract Factory) ,True
14,4,옵서버(Observer),False
15,1,㉮ → ㉯ → ㉰ → ㉱ → ㉲,True
15,2,㉲ → ㉮ → ㉯ → ㉱ → ㉰,False
15,3,㉮ → ㉲ → ㉯ → ㉱ → ㉰,False
15,4,㉮ → ㉯ → ㉰ → ㉲ → ㉱,False
16,1,심미성을 사용성보다 우선하여 설계해야 한다.,True
16,2,효율성을 높이게 설계해야 한다.,False
16,3,발생하는 오류를 쉽게 수정할 수 있어야 한다.,False
16,4,사용자에게 피드백을 제공해야 한다.,False
17,1,모듈 분해,False
17,2,디자인 패턴,True
17,3,연관 관계,False
17,4,클래스 도출,False
18,1,Wirfs-Block Method,False
18,2,Rumbaugh Method,True
18,3,Booch Method,False
18,4,Jacobson Method,False
19,1,EAI,False
19,2,FEP,True
19,3,GPL,False
19,4,Duplexing,False
20,1,Method,False
20,2,Class,True
20,3,Field,False
20,4,Message 氠瑢 2과목 : 소프트웨어 개발,False
21,1,"추상화 : 하위 클래스/메소드/함수를 통해 애플리케이션의 특성을 간략하게 나타내고, 상세 내용은 상위 클래스/메소드/함수에서 구현한다.",True
21,2,의존성 : 다른 모듈에 미치는 영향을 최소화하도록 작성한다.,False
21,3,가독성 : 누구든지 읽기 쉽게 코드를 작성한다.,False
21,4,중복성 : 중복을 최소화 할 수 있는 코드를 작성한다.,False
22,1,테스트 스텁(Test Stub),False
22,2,테스트 드라이버(Test Driver),True
22,3,테스트 슈트(Test Suites),False
22,4,테스트 케이스(Test Case),False
23,1,"㉠, ㉡",False
23,2,"㉡, ㉢",False
23,3,㉣,True
23,4,"㉠, ㉡, ㉢, ㉣",False
24,1,오류의 파급 효과를 최소화한다.,False
24,2,기능의 분리가 가능하여 인터페이스가 복잡하다.,True
24,3,모듈의 재사용 가능으로 개발과 유지보수가 용이하다.,False
24,4,프로그램의 효율적인 관리가 가능하다.,False
25,1,개발에 따른 산출물 관리,False
25,2,소요인력은 최대화하되 정책 결정은 신속하게 처리,False
25,3,주어진 기간은 연장하되 최소의 비용으로 시스템을 개발,False
25,4,주어진 기간 내에 최소의 비용으로 사용자를 만족시키는 시스템을 개발,True
26,1,의제를 제한한다.,False
26,2,논쟁과 반박을 제한한다.,False
26,3,문제 영역을 명확히 표현한다.,False
26,4,참가자의 수를 제한하지 않는다.,True
27,1,Analysis,False
27,2,Migration,True
27,3,Restructuring,False
27,4,Reverse Engineering,False
28,1,개발 정보시스템의 특성,False
28,2,사용자의 요구사항,False
28,3,컴파일러의 가용성,False
28,4,컴파일러의 독창성,True
29,1,패키징은 개발자 중심으로 진행한다.,True
29,2,"신규 및 변경 개발소스를 식별하고, 이를 모듈화하여 상용제품으로 패키징한다.",False
29,3,고객의 편의성을 위해 매뉴얼 및 버전관리를 지속적으로 한다.,False
29,4,범용 환경에서 사용이 가능하도록 일반적인 배포 형태로 패키징이 진행된다.,False
30,1,트리,True
30,2,리스트,False
30,3,스택,False
30,4,데크,False
31,1,Title Code,False
31,2,Source Code,False
31,3,Object Code,False
31,4,Alien Code,True
32,1,생산성 증가,False
32,2,프로젝트 문서 공유,False
32,3,소프트웨어 품질 향상,False
32,4,새로운 개발 방법론 도입 용이,True
33,1,AJTML,True
33,2,JSON,False
33,3,XML,False
33,4,YAML,False
34,1,논리의 기술에 중점을 두고 도형을 이용한 표현 방법이다.,False
34,2,이해하기 쉽고 코드 변환이 용이하다.,False
34,3,화살표나 GOTO를 사용하여 이해하기 쉽다.,True
34,4,"연속, 선택, 반복 등의 제어 논리 구조를 표현한다.",False
35,1,B D C A,True
35,2,A B C D,False
35,3,B A C D,False
35,4,A B D C,False
36,1,Selection Sort,False
36,2,Bubble Sort,False
36,3,Insert Sort,False
36,4,Quick Sort,True
37,1,"㉠, ㉡",True
37,2,"㉠, ㉣",False
37,3,"㉡, ㉤",False
37,4,"㉢, ㉥",False
38,1,소프트웨어 품질 평가를 위한 소프트웨어 품질평가 통합모델 표준이다.,False
38,2,System and Software Quality Requirements and Evaluation으로 줄여서 SQuaRE라고도 한다.,False
38,3,"ISO/IEC 2501n에서는 소프트웨어의 내부 측정, 외부측정, 사용품질 측정, 품질 측정 요소 등을 다룬다.",True
38,4,기존 소프트웨어 품질 평가 모델과 소프트웨어 평가 절차 모델인 ISO/IEC 9126과 ISO/IEC 14598을 통합하였다.,False
39,1,프로그램을 수행시켜보는 것 대신에 읽어보고 눈으로 확인하는 방법으로 볼 수 있다.,False
39,2,코드 품질 향상 기법 중 하나이다.,False
39,3,동적 테스트 시에만 활용하는 기법이다.,True
39,4,"결함과 함께 코딩 표준 준수 여부, 효율성 등의 다른 품질 이슈를 검사하기도 한다.",False
40,1,"Critical Path Method ,",False
40,2,Risk Analysis,True
40,3,Work Breakdown Structure,False
40,4,Waterfall Model 氠瑢 3과목 : 데이터베이스 구축,False
41,1,스키마의 평가 및 정제,True
41,2,응답 시간,False
41,3,저장 공간의 효율화,False
41,4,트랜잭션 처리량,False
42,1,테이블의 행을 삭제할 때 사용한다.,False
42,2,WHERE 조건절이 없는 DELETE 명령을 수행하면 DROP TABLE 명령을 수행했을 때와 동일한 효과를 얻을 수 있다.,True
42,3,SQL을 사용 용도에 따라 분류할 경우 DML에 해당한다.,False
42,4,기본 사용 형식은 “DELETE FROM 테이블 [WHERE 조건];” 이다.,False
43,1,제5정규형,True
43,2,제4정규형,False
43,3,제3정규형,False
43,4,제1정규형,False
44,1,[이미지 보기],False
44,2,[이미지 보기],False
44,3,[이미지 보기],True
44,4,[이미지 보기],False
45,1,필드키,False
45,2,슈퍼키,False
45,3,외래키,True
45,4,후보키,False
46,1,∃,False
46,2,∈,False
46,3,∀,True
46,4,⊂,False
47,1,"Degree : 4, Cardinality : 3",True
47,2,"Degree : 3, Cardinality : 4",False
47,3,"Degree : 3, Cardinality : 12",False
47,4,"Degree : 12, Cardinality : 3",False
48,1,뷰 위에 또 다른 뷰를 정의할 수 있다.,False
48,2,DBA는 보안성 측면에서 뷰를 활용할 수 있다.,False
48,3,사용자가 필요한 정보를 요구에 맞게 가공하여 뷰로 만들 수 있다.,False
48,4,"SQL을 사용하면 뷰에 대한 삽입, 갱신, 삭제 연산 시 제약 사항이 없다.",True
49,1,SELECT 학생 FROM 이름 WHERE 학과='교육';,False
49,2,SELECT 이름 FROM 학생 WHERE 학과='교육';,True
49,3,SELECT 교육 FROM 학과 WHERE 이름='학생';,False
49,4,SELECT 학과 FROM 학생 WHERE 이름='교육';,False
50,1,1NF → 2NF,False
50,2,2NF → 3NF,True
50,3,3NF → BCNF,False
50,4,BCNF → 4NF,False
51,1,속성 타입 변경,True
51,2,속성의 NOT NULL 여부 지정,False
51,3,기본키를 구성하는 속성 지정,False
51,4,CHECK 제약조건의 정의,False
52,1,REVOKE 키워드를 사용하여 열 이름을 다시 부여할 수 있다.,True
52,2,"데이터 정의어는 기본 테이블, 뷰 테이블, 또는 인덱스 등을 생성, 변경, 제거하는데 사용되는 명령어이다.",False
52,3,DISTINCT를 활용하여 중복 값을 제거할 수 있다.,False
52,4,JOIN을 통해 여러 테이블의 레코드를 조합하여 표현할 수 있다.,False
53,1,1,False
53,2,3,False
53,3,4,False
53,4,5,True
54,1,점수 ＞= 90 AND 점수 ＜= 95,True
54,2,점수 ＞ 90 AND 점수 ＜ 95,False
54,3,점수 ＞ 90 AND 점수 ＜= 95,False
54,4,점수 ＞= 90 AND 점수 ＜ 95,False
55,1,철회(Aborted),True
55,2,부분 완료(Partially Committed),False
55,3,완료(Commit),False
55,4,실패(Fail),False
56,1,ROLLBACK : 데이터의 보안과 무결성을 정의한다.,False
56,2,COMMIT : 데이터베이스 사용자의 사용 권한을 취소한다.,False
56,3,GRANT : 데이터베이스 사용자의 사용 권한을 부여한다.,True
56,4,REVOKE : 데이터베이스 조작 작업이 비정상적으로 종료되었을 때 원래 상태로 복구한다.,False
57,1,[이미지 보기],False
57,2,[이미지 보기],False
57,3,[이미지 보기],False
57,4,[이미지 보기],True
58,1,분산 데이터베이스는 논리적으로는 하나의 시스템에 속하지만 물리적으로는 여러 개의 컴퓨터 사이트에 분산되어 있다.,False
