question_no,subject_no,subject_name,question_type,question_text,correct_choice_no,has_media,media_paths,explanation,source_type
1,1,소프트웨어 설계,MULTIPLE_CHOICE,User Interface 설계 시 오류 메시지나 경고에 관한 지침으로 가장 거리가 먼 것은?,4,False,,"1) 직관성(Intuitiveness) : 누구나 쉽게 이해하고, 쉽게 사용할 수 있어야 함. 2) 유효성(Effectiveness) : 정확하고 완벽하게 사용자의 목표가 달성될 수 있도록 제작해야 함. 3) 학습성(Learnablilty) : 초보와 숙련자 모두가 쉽게 배우고 사용할 수 있게 제작해야 함. 4) 유연성(Flexibility) : 사용자의 인터랙션을 최대한 포용하고, 실수를 방지할 수 있도록 제작해야 함. [해설작성자 : 기묘] 특정 위험 또는 오류를 연상시키는 색깔의 사용은 상식적으로 직관성을 높이는 수단이 될 것이다. [해설작성자 : 내일 시험] UI 설계 시 오류 메시지나 경고에 관한 3가지 지침",USER_IMPORTED_HWP
2,1,소프트웨어 설계,MULTIPLE_CHOICE,다음 중 애자일(Agile) 소프트웨어 개발에 대한 설명으로 틀린 것은?,2,False,,애자일 방법론 특징 1) 프로젝트 요구사항은 '기능' 중심 2) 공정과 도구보다 '개인'과 소통을 중요시 3) '변화'에 유연하고 신속한 대처 4) '고객'과의 피드백을 중요시 [해설작성자 : DaeguYoungsu],USER_IMPORTED_HWP
3,1,소프트웨어 설계,MULTIPLE_CHOICE,소프트웨어 설계에서 요구사항 분석에 대한 설명으로 틀린 것은?,3,False,,"요구 사항 개발 프로세스 도출 - 분석 - 명세 - 확인 [해설작성자 : 골프공] 요구사항 검증 단계이다. 요구 사항 검증 방법중에 '정형 기술 검토 활용'이 있다. '정형 기술 검토 활용' 3가지 종류가 있다. 동료 검토, 워크 스루, 인스펙션 * 인스펙션 : 전문가 또는 팀이 검사하여 오류를 찾아내는 공식적 검토 방법 동료검사 : 2~3명이서 리뷰의 형태 워크스루 : 오류를 조기에 검출하는데 목적 [해설작성자 : 피드백이 사람을 만든다] 소프트웨어 시스템이 사용되는 동안 발견되는 오류를 정리하는 단계는 테스트 단계이다. [해설작성자 : 좋은데이]",USER_IMPORTED_HWP
4,1,소프트웨어 설계,MULTIPLE_CHOICE,객체지향 기법에서 상위 클래스의 메소드와 속성을 하위 클래스가 물려받는 것을 의미하는 것은?,4,False,,"객체지향의 주요 개념(원칙) 캡슐화(Encapsulation) -데이터와 데이터를 처리하는 함수를 하나로 묶은 것 -캡슐화된 객체의 세부 내용이 은폐되어 변경이 발생해도 오류의 파급효과가 적음 -캡슐화된 객체들은 재사용이 용이함 -인터페이스가 단순해지고 객체간의 결합도가 낮아짐 상속성(Inheritance) -객체지향 프로그래밍에서 이미 정의된 상위 클래스(부모 클래스)의 모든 속성과 연산을 하위 클래스가 상속(물려)받는 것 -하위 클래스는 상위 클래스로부터 받은 속성과 연산 외에도 새로운 것을 첨가 가능 -클래스의 재사용, 소프트웨어의 재사용을 높이는 중요한 개념 + 속성과 연산 등을 물려주는 클래스를 상위 클래스 또는 슈퍼 클래스, 물려받는 클래스를 하위 클래스 또는 서브 클래스라고 한다. 다형성(Polymorphism) -하나의 메시지에 대해 각 객체가 갖고 있는 고유한 방법대로 응답하는 것을 의미 -하나의 클래스나 메서드가 다양한 방식으로 동작이 가능한 것을 의미 -오버로딩과 오버라이딩이 존재 [해설작성자 : comcbt.com 이용자] 추상화(abstraction) -데이터들의 공통된 성질을 추출해 슈퍼 클래스 선정 [해설작성자 : 콩이언니]",USER_IMPORTED_HWP
5,1,소프트웨어 설계,MULTIPLE_CHOICE,설계 기법 중 하향식 설계 방법과 상향식 설계 방법에 대한 비교 설명으로 가장 옳지 않은 것은?,4,False,,,USER_IMPORTED_HWP
6,1,소프트웨어 설계,MULTIPLE_CHOICE,자료흐름도(DFD)의 각 요소별 표기 형태의 연결이 옳지 않은 것은?,3,False,,자료흐름도 4가지 구성요소 - 처리 Process : 원 - 자료흐름 Data Flow : 화살표 - 자료저장소 Data Store : 평행선 - 단말 Terminal : 사각형 [해설작성자 : 양기모띄],USER_IMPORTED_HWP
7,1,소프트웨어 설계,MULTIPLE_CHOICE,소프트웨어 개발에 이용되는 모델(Model)에 대한 설명 중 거리가 먼 것은?,4,False,,"소프트웨어 개발시 모델은 향후 개발될 시스템을 유추하기 위해서 하는 활동이며, 주로 시스템 개발자가 실행합니다. [해설작성자 : 뫅카몰]",USER_IMPORTED_HWP
8,1,소프트웨어 설계,MULTIPLE_CHOICE,다음의 설명에 해당하는 언어는? [이미지 자료 참조],3,True,media/q008_media_1.gif,Unified Modeling Language [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
9,1,소프트웨어 설계,MULTIPLE_CHOICE,다음 내용이 설명하는 UI설계 도구는? [이미지 자료 참조],2,True,media/q009_media_1.gif,"스토리보드 : 디자이너와 개발자가 최종적으로 참고하는 작업지침서 상단이나 우측에 제목,작성자등을 입력하고 좌측에는 UI화면,우측엔 디스크립션을 기입한다. 프로토타입 : 와이어프레임이나 스토리보드등에 인터랙션을 적용함으로써 실제 구현된 것처럼 테스트가 가능한 동적인 형태의 모형 유스케이스 : 사용자 측면에서의 요구사항으로, 사용자가 원하는 목표를 달성하기 위해 수행할 내용을 기술한다. [해설작성자 : 코라투]",USER_IMPORTED_HWP
10,1,소프트웨어 설계,MULTIPLE_CHOICE,애자일(Agile) 기법 중 스크럼(Scrum)과 관련된 용어에 대한 설명이 틀린 것은?,3,False,,"스프린트 - 실제 개발을 2~4주간 진행하는 과정 - 스프린트 백로그에 작성된 Task를 대상으로 작업 시간을 측정한 후 담당 개발 자에게 할당합니다. - Task는 할 일, 진행 중, 완료의 상태로 구성된다. [해설작성자 : MSKIM]",USER_IMPORTED_HWP
